Name,Scientific Name,Class,Family,Lifespan (years),Top Speed (km/h),Weight (kg),Length (cm),Diet,Population Trend,Population Status,Mating Behavior,Arid Climate,Cold Climate,Polar Climate,Temperate Climate,Tropical Climate,Africa,Antarctica,Asia,Europe,North America,Oceania,South America
Aardvark,Orycteropus afer,Mammalia,Orycteropodidae,20.5,40.0,70.0,117.5,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Aardwolf,Proteles cristata,Mammalia,Hyaenidae,14.0,41.829850746268654,8.5,67.5,1,2,1,2,0,0,0,1,1,1,0,0,0,0,0,0
Abert's Squirrel,Sciurus aberti,Mammalia,Sciuridae,7.0,41.829850746268654,0.755,52.0,2,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0
Acadian Flycatcher,Empidonax virescens,Aves,Tyrannidae,10.5,66.8076923076923,0.013000000000000001,14.0,1,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1
Acorn Woodpecker,Melanerpes formicivorus,Aves,Picidae,16.5,66.8076923076923,0.077,21.0,0,3,1,2,0,0,0,1,1,0,0,0,0,1,0,1
Addax,Addax nasomaculatus,Mammalia,Bovidae,22.0,41.829850746268654,92.5,125.0,2,1,2,1,1,0,0,1,0,1,0,0,0,0,0,0
Adélie Penguin,Pygoscelis adeliae,Aves,Spheniscidae,15.0,35.0,4.5,69.0,1,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0
AesculapianSnake,Zamenis longissimus,Reptilia,Colubridae,27.5,22.147727272727273,28.274673913043493,135.0,1,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0
African Buffalo,Syncerus caffer,Mammalia,Bovidae,20.0,41.829850746268654,125.5,200.0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
African Bush Elephant,Loxodonta africana,Mammalia,Elephantidae,67.5,40.0,4.0,300.0,2,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0
African Civet,Civettictis civetta,Mammalia,Viverridae,21.5,41.829850746268654,13.5,75.5,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
African Clawless Otter,Aonyx capensis,Mammalia,Mustelidae,12.5,41.829850746268654,13.0,84.0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
African Fish Eagle,Haliaeetus vocifer,Aves,Accipitridae,26.0,66.8076923076923,2.5,69.0,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,0
African Forest Elephant,Loxodonta cyclotis,Mammalia,Elephantidae,67.5,39.0,1500.0,150.0,2,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0
African Golden Cat,Caracal aurata,Mammalia,Felidae,15.0,41.829850746268654,10.5,81.0,1,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0
African Golden Wolf,Canis anthus,Mammalia,Canidae,8.0,64.0,11.0,114.29540507859738,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0
African Grey Parrot,Psittacus erithacus,Aves,Psittacidae,41.5,66.8076923076923,0.445,30.5,2,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0
African Lion,Panthera leo,Mammalia,Felidae,18.5,56.0,184.5,195.0,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0
African Manatee,Trichechus senegalensis,Mammalia,Trichechidae,30.0,32.0,360.0,400.0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0
African Penguin ,Spheniscus demersus,Aves,Spheniscidae,12.5,20.0,3.5,45.0,1,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0
African Rock Python,Python sebae,Reptilia,Pythonidae,21.0,22.147727272727273,49.5,350.0,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0
African Spoonbill,Platalea alba,Aves,Threskiornithidae,22.5,66.8076923076923,1.5,49.30568669527897,1,2,1,0,0,0,0,1,1,1,0,1,0,0,0,0
African Spurred Tortoise,Centrochelys sulcata,Reptilia,Testudinidae,100.0,22.147727272727273,105.0,83.0,2,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0
African Wild Ass,Equus africanus,Mammalia,Equidae,37.5,70.0,252.5,200.0,2,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0
African Wild Dog,Lycaon pictus,Mammalia,Canidae,10.5,66.0,27.0,91.5,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0
Agile Wallaby,Macropus agilis,Mammalia,Macropodidae,12.5,41.829850746268654,18.0,78.5,2,1,1,2,0,0,0,0,1,0,0,1,0,0,1,0
Alabama Red-Bellied Turtle,Pseudemys alabamensis,Reptilia,Emydidae,25.068493150684933,22.147727272727273,28.274673913043493,22.5,2,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0
Aldabra Giant Tortoise,Aldabrachelys gigantea,Reptilia,Testudinidae,138.0,0.0,200.0,106.0,2,0,2,1,1,0,0,0,1,1,0,0,0,0,0,0
Allen's Swamp Monkey,Allenopithecus nigroviridis,Mammalia,Cercopithecidae,23.0,41.829850746268654,4.5,52.5,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0
Alligator Snapping Turtle,Macrochelys temminckii,Reptilia,Chelydridae,45.0,22.147727272727273,44.0,58.0,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,0
Alpaca,Vicugna pacos,Mammalia,Camelidae,12.5,48.0,60.0,172.5,2,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1
Alpine Chipmunk,Neotamias alpinus,Mammalia,Sciuridae,2.5,41.829850746268654,0.036000000000000004,18.45,2,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0
Alpine Ibex,Capra ibex,Mammalia,Bovidae,15.5,41.829850746268654,67.0,146.0,2,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0
Alpine Marmot,Marmota marmota,Mammalia,Sciuridae,16.5,41.829850746268654,5.0,48.0,2,2,1,0,0,1,0,1,0,0,0,0,1,0,0,0
Amazonian Manatee,Trichechus inunguis,Mammalia,Trichechidae,21.0,22.0,450.0,300.0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1
Amazon River Dolphin,Inia geoffrensis,Mammalia,Iniidae,30.0,30.0,130.0,200.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
Amazon Tree Boa,Corallus hortulanus,Reptilia,Boidae,17.5,22.147727272727273,28.274673913043493,150.0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1
American Alligator,Alligator mississippiensis,Reptilia,Alligatoridae,57.5,24.0,159.0,250.0,1,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0
American Anole,Anolis carolinensis,Reptilia,Dactyloidae,5.0,22.147727272727273,0.005,21.0,1,2,1,1,0,0,0,1,1,0,0,0,0,1,0,0
American Avocet,Recurvirostra americana,Aves,Recurvirostridae,12.0,40.0,0.312,45.0,0,2,1,0,1,0,0,1,1,0,0,0,0,1,0,1
American Badger,Taxidea taxus,Mammalia,Mustelidae,12.0,30.0,8.0,67.5,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0
AmericanBeaver,Castor canadensis,Mammalia,Castoridae,15.0,55.0,21.5,82.0,2,2,1,0,1,1,1,1,0,0,0,1,1,1,0,1
American Bison,Bison bison,Mammalia,Bovidae,27.5,35.0,659.0,250.0,2,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0
American Bittern,Botaurus lentiginosus,Aves,Ardeidae,8.0,66.8076923076923,0.185,71.5,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0
American Black Bear,Ursus americanus,Mammalia,Ursidae,20.0,48.0,185.0,160.0,1,3,1,1,0,1,1,1,0,0,0,0,0,1,0,0
American Black Duck,Anas rubripes,Aves,Anatidae,26.0,66.8076923076923,0.36,56.5,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
American Coot,Fulica americana,Aves,Rallidae,15.5,66.8076923076923,0.637,38.5,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,1
American Crocodile,Crocodylus acutus,Reptilia,Crocodylidae,60.0,32.0,136.0,350.0,1,3,2,1,0,0,0,1,1,0,0,0,0,1,0,1
American Crow,Corvus brachyrhynchos,Aves,Corvidae,7.5,48.0,0.46799999999999997,46.5,1,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0
American Five-Lined Skink,Plestiodon fasciatus,Reptilia,Scincidae,6.0,22.147727272727273,28.274673913043493,16.5,1,2,1,1,0,0,0,1,0,0,0,0,0,1,0,0
American Flamingo,Phoenicopterus ruber,Aves,Phoenicopteridae,45.0,60.0,1.741089397089397,132.5,1,3,1,0,0,0,0,0,1,0,0,0,0,1,0,1
American Golden Plover,Pluvialis dominica,Aves,Charadriidae,11.5,96.0,0.158,26.5,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,1
American Goldfinch,Spinus tristis,Aves,Fringillidae,7.0,66.8076923076923,0.015,12.5,2,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0
American Hog-Nosed Skunk,Conepatus leuconotus,Mammalia,Mephitidae,7.5,41.829850746268654,2.5,68.5,0,1,1,2,0,0,0,1,1,0,0,0,0,1,0,0
American Kestrel,Falco sparverius,Aves,Falconidae,14.0,104.0,0.122,26.5,1,2,1,0,1,0,0,1,1,0,1,0,0,1,0,1
American Marten,Martes americana,Mammalia,Mustelidae,14.5,41.829850746268654,0.79,38.5,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
American Mink,Neovison vison,Mammalia,Mustelidae,10.0,6.0,0.201,38.0,1,2,1,1,0,1,1,1,0,0,0,0,0,1,0,0
American Oystercatcher,Haematopus palliatus,Aves,Haematopodidae,13.5,66.8076923076923,0.55,47.0,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1
American Pika,Ochotona princeps,Mammalia,Ochotonidae,5.0,41.829850746268654,0.14800000000000002,18.9,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
American Red Squirrel,Tamiasciurus hudsonicus,Mammalia,Sciuridae,7.5,22.0,0.239,32.5,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0
American Redstart,Setophaga ruticilla,Aves,Parulidae,10.0,66.8076923076923,0.006999999999999999,12.5,1,1,1,2,0,1,0,1,1,0,0,0,0,1,0,1
American Robin,Turdus migratorius,Aves,Turdidae,8.0,29.0,0.076,25.5,0,3,1,0,0,0,1,1,1,0,0,0,0,1,0,0
American White Pelican,Pelecanus erythrorhynchos,Aves,Pelecanidae,26.0,50.0,8.0,155.0,1,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0
American Wigeon,Mareca americana,Aves,Anatidae,11.0,112.0,0.257,50.5,2,2,1,0,0,0,1,1,1,0,0,1,0,1,0,1
American Woodcock,Scolopax minor,Aves,Scolopacidae,8.0,45.0,0.185,27.5,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0
Amethystine Python,Simalia amethistina,Reptilia,Pythonidae,20.0,22.147727272727273,10.0,300.0,1,2,1,2,0,0,0,0,1,0,0,1,0,0,1,0
Anaconda,Eunectes murinus,Reptilia,Boidae,20.0,16.0,50.0,350.0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1
Andean Flamingo,Phoenicoparrus andinus,Aves,Phoenicopteridae,50.0,60.0,0.004,100.0,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1
Andean Mountain Cat,Leopardus jacobita,Mammalia,Felidae,16.0,41.829850746268654,5.0,71.0,1,1,2,2,1,0,1,1,1,0,0,0,0,0,0,1
Angola Colobus,Colobus angolensis,Mammalia,Cercopithecidae,25.0,41.829850746268654,14.5,60.0,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0
Anhinga,Anhinga anhinga,Aves,Anhingidae,12.0,66.8076923076923,1.0,85.0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
Ankarana Sportive Lemur,Lepilemur ankaranensis,Mammalia,Lepilemuridae,18.121026894865526,41.829850746268654,0.75,53.0,2,1,2,2,0,0,0,0,1,1,0,0,0,0,0,0
Anna's Hummingbird,Calypte anna,Aves,Trochilidae,8.0,66.8076923076923,0.004,10.5,2,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0
Antarctic Fur Seal,Arctocephalus gazella,Mammalia,Otariidae,20.0,20.0,117.5,150.0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1
Antarctic Minke Whale,Balaenoptera bonaerensis,Mammalia,Balaenopteridae,50.0,40.0,7000.0,950.0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1
Antelope Jackrabbit,Lepus alleni,Mammalia,Leporidae,3.0,72.0,3.0,52.5,2,2,1,1,1,0,0,1,0,0,0,0,0,1,0,0
Antilopine Kangaroo,Macropus antilopinus,Mammalia,Macropodidae,16.0,41.829850746268654,28.5,114.29540507859738,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Splendid Fairy-Wren,Malurus splendens,Aves,Maluridae,5.5,66.8076923076923,0.009000000000000001,14.0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Aplomado Falcon,Falco femoralis,Aves,Falconidae,12.0,66.8076923076923,0.33399999999999996,41.0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1
Appalachian Cottontail,Sylvilagus obscurus,Mammalia,Leporidae,1.0,41.829850746268654,0.379,40.8,2,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0
Arabian Oryx,Oryx leucoryx,Mammalia,Bovidae,20.0,41.829850746268654,67.5,160.0,2,2,2,1,1,0,0,1,0,1,0,1,0,0,0,0
Arabian Sand Boa,Eryx jayakari,Reptilia,Boidae,25.0,22.147727272727273,28.274673913043493,38.0,1,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0
Arctic Fox,Vulpes lagopus,Mammalia,Canidae,8.5,45.0,5.0,53.5,1,2,1,0,0,0,1,0,0,0,0,1,1,1,0,0
Arctic Ground Squirrel,Spermophilus parryii,Mammalia,Sciuridae,8.5,41.829850746268654,0.425,23.0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0
Arctic Hare,Lepus arcticus,Mammalia,Leporidae,5.5,64.0,3.5,56.5,2,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
Arctic Wolf,Canis lupus arctos,Mammalia,Canidae,12.0,75.0,51.0,50.0,1,2,1,0,0,0,1,0,0,1,0,1,1,1,0,0
Argali,Ovis ammon,Mammalia,Bovidae,11.5,60.0,185.5,168.0,2,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Argentine Black and White Tegu,Salvator merianae,Reptilia,Teiidae,17.5,22.147727272727273,12.0,116.0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1
Armadillo Girdled Lizard,Ouroborus cataphractus,Reptilia,Cordylidae,22.5,22.147727272727273,28.274673913043493,8.0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0
Asian Elephant,Elephas maximus,Mammalia,Elephantidae,70.0,43.0,3000.0,550.0,2,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
Asian Golden Cat,Catopuma temminckii,Mammalia,Felidae,20.0,41.829850746268654,12.5,85.5,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0
Asian House Shrew,Suncus murinus,Mammalia,Soricidae,1.5,41.829850746268654,0.075,15.0,0,2,1,2,0,0,0,1,1,0,0,1,0,0,0,0
Asian Palm Civet,Paradoxurus hermaphroditus,Mammalia,Viverridae,19.5,41.829850746268654,3.5,53.5,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0
Asian Water Monitor,Varanus salvator,Reptilia,Varanidae,18.0,22.147727272727273,34.5,150.0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0
Asian Wild Water Buffalo,Bubalus arnee,Mammalia,Bovidae,18.5,48.0,950.0,270.0,2,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0
Asiatic Black Bear,Ursus thibetanus,Mammalia,Ursidae,25.0,40.0,120.0,155.0,1,1,2,1,1,1,1,1,1,0,0,1,0,0,0,0
Asp Viper,Vipera aspis,Reptilia,Viperidae,17.5,22.147727272727273,28.274673913043493,72.5,1,1,1,2,0,0,0,1,0,0,0,0,1,0,0,0
Atlantic Puffin,Fratercula arctica,Aves,Alcidae,25.0,88.0,0.5,29.0,1,1,2,0,0,0,1,1,0,1,0,1,1,1,0,0
Atlantic Spotted Dolphin,Stenella frontalis,Mammalia,Delphinidae,35.0,41.829850746268654,135.0,150.0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1
Atlantic White-Sided Dolphin,Lagenorhynchus acutus,Mammalia,Delphinidae,24.5,41.829850746268654,215.0,200.0,1,0,1,2,0,1,0,1,0,0,0,1,1,1,0,0
Australian Fur Seal,Arctocephalus pusillus,Mammalia,Otariidae,20.0,41.829850746268654,205.0,175.0,1,3,1,1,0,0,0,1,1,1,0,0,0,0,1,0
Australian Magpie,Gymnorhina tibicen,Aves,Artamidae,27.5,66.8076923076923,0.285,40.0,0,3,1,0,0,0,0,1,1,0,0,1,0,0,1,0
Australian Pelican,Pelecanus conspicillatus,Aves,Pelecanidae,20.0,56.0,5.5,100.0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0
Australian Raven,Corvus coronoides,Aves,Corvidae,21.0,66.8076923076923,0.65,49.5,1,3,1,0,0,0,0,1,1,0,0,0,0,0,1,0
Australian Saltwater Crocodile,Crocodylus porosus,Reptilia,Crocodylidae,55.0,18.0,1.0,450.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0
Australian Sea Lion,Neophoca cinerea,Mammalia,Otariidae,14.0,29.0,180.0,150.0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,1,0
Australian Snubfin Dolphin,Orcaella heinsohni,Mammalia,Delphinidae,24.0,41.829850746268654,123.5,200.0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Australian Water Dragon,Intellagama lesueurii,Reptilia,Agamidae,20.0,22.147727272727273,1.0,85.0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,1,0
Australian White Ibis,Threskiornis molucca,Aves,Threskiornithidae,28.0,66.8076923076923,1.5,70.0,1,2,1,0,0,0,0,1,1,0,0,1,0,0,1,0
Axis Deer,Axis axis,Mammalia,Cervidae,10.0,65.0,50.0,100.0,2,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0
Aye-Aye,Daubentonia madagascariensis,Mammalia,Daubentoniidae,23.0,32.0,2.0,35.0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0
Azara's Agouti,Dasyprocta azarae,Mammalia,Dasyproctidae,18.121026894865526,41.829850746268654,2.5,52.0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1
Azure Kingfisher,Ceyx azureus,Aves,Alcedinidae,10.0,66.8076923076923,0.035,18.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
Bactrian Camel,Camelus bactrianus,Mammalia,Camelidae,35.0,64.0,150.5,287.5,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
Bactrian Deer,Cervus elaphus bactrianus,Mammalia,Cervidae,19.0,41.829850746268654,147.5,185.0,2,3,0,2,0,0,0,1,0,0,0,1,0,0,0,0
Baiji,Lipotes vexillifer,Mammalia,Lipotidae,24.0,60.0,182.5,200.0,1,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0
Baikal Seal,Pusa sibirica,Mammalia,Phocidae,53.0,25.0,85.0,100.0,1,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0
Baird's Beaked Whale,Berardius bairdii,Mammalia,Ziphiidae,70.0,41.829850746268654,14.0,1250.0,1,0,0,2,0,0,0,1,0,0,0,1,0,1,0,0
Baird's Tapir,Tapirus bairdii,Mammalia,Tapiridae,18.121026894865526,48.0,275.0,150.0,2,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1
Bald Eagle,Haliaeetus leucocephalus,Aves,Accipitridae,32.0,120.0,4.5,86.0,1,3,1,0,1,1,1,1,0,0,0,1,1,1,0,0
Bald Uakari,Cacajao calvus,Mammalia,Pitheciidae,22.5,41.829850746268654,2.5,24.0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1
Bali Myna,Leucopsar rothschildi,Aves,Sturnidae,10.0,66.8076923076923,0.092,25.0,0,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0
Ball Python,Python regius,Reptilia,Pythonidae,17.5,22.147727272727273,2.0,113.5,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0
Baltimore Oriole,Icterus galbula,Aves,Icteridae,13.0,66.8076923076923,0.032,19.5,0,2,1,0,0,0,0,1,1,0,0,0,0,1,0,1
Bamboo Pit Viper,Trimeresurus gramineus,Reptilia,Viperidae,25.068493150684933,22.147727272727273,28.274673913043493,104.66383928571429,1,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0
Banded Hare-Wallaby,Lagostrophus fasciatus,Mammalia,Macropodidae,6.0,41.829850746268654,2.0,42.5,2,2,2,2,1,0,0,1,0,0,0,1,0,0,1,0
Banded Krait,Bungarus fasciatus,Reptilia,Elapidae,25.068493150684933,22.147727272727273,28.274673913043493,150.0,1,2,1,2,0,0,0,0,1,0,0,1,0,0,0,0
Banded Mongoose,Mungos mungo,Mammalia,Herpestidae,12.0,32.0,1.5,37.5,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Banded Water Snake,Nerodia fasciata,Reptilia,Colubridae,7.5,22.147727272727273,0.18,84.0,1,2,1,2,0,0,0,1,0,0,0,0,0,1,0,0
Bank Vole,Myodes glareolus,Mammalia,Cricetidae,2.0,9.0,0.025,10.2,2,2,1,1,0,1,0,1,0,0,0,1,1,0,0,0
Banteng,Bos javanicus,Mammalia,Bovidae,21.0,41.829850746268654,650.0,250.0,2,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
Barasingha,Rucervus duvaucelii ,Mammalia,Cervidae,21.5,48.0,205.0,172.5,2,1,2,1,1,0,0,1,1,0,0,1,0,0,0,0
Barbados Threadsnake,Tetracheilostoma carlae,Reptilia,Leptotyphlopidae,25.068493150684933,22.147727272727273,28.274673913043493,10.0,1,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0
Barbary Macaque,Macaca sylvanus,Mammalia,Cercopithecidae,30.0,41.829850746268654,13.5,52.5,0,1,2,1,1,0,0,1,0,1,0,0,1,0,0,0
Barbary Sheep,Ammotragus lervia,Mammalia,Bovidae,15.0,41.829850746268654,90.0,160.0,2,1,2,1,1,1,0,1,0,1,0,0,0,1,0,0
Bar-Headed Goose,Anser indicus,Aves,Anatidae,20.0,80.0,2.0,73.5,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0
Barking Owl,Ninox connivens,Aves,Strigidae,15.0,66.8076923076923,0.67,41.5,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0
Barnacle Goose,Branta leucopsis,Aves,Anatidae,24.0,95.0,1.5,62.5,2,3,1,0,0,1,1,1,0,0,0,1,1,1,0,0
Barn Swallow,Hirundo rustica,Aves,Hirundinidae,5.5,74.0,0.019,18.0,1,1,1,2,0,1,0,1,1,1,1,1,1,1,1,1
Barred Owl,Strix varia,Aves,Strigidae,16.5,66.8076923076923,0.23399999999999999,51.5,1,3,1,0,0,0,0,1,1,0,0,0,0,1,0,0
Bar-Tailed Godwit,Limosa lapponica,Aves,Scolopacidae,30.0,56.0,0.41,39.0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Bat-Eared Fox,Otocyon megalotis,Mammalia,Canidae,9.5,112.0,3.0,56.0,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Bateleur,Terathopius ecaudatus,Aves,Accipitridae,27.0,80.0,2.0,62.5,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
Bat Falcon,Falco rufigularis,Aves,Falconidae,15.0,66.8076923076923,0.175,26.5,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Bay Cat,Catopuma badia,Mammalia,Felidae,13.5,41.829850746268654,3.5,58.0,1,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0
Bearded Seal,Erignathus barbatus,Mammalia,Phocidae,31.0,41.829850746268654,315.0,200.0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0
Beech Marten,Martes foina,Mammalia,Mustelidae,10.5,41.829850746268654,1.5,45.0,1,2,1,1,1,1,1,1,0,0,0,1,1,1,0,0
Bee Hummingbird,Mellisuga helenae,Aves,Trochilidae,8.5,48.0,0.002,5.5,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
Belted Kingfisher,Megaceryle alcyon,Aves,Alcedinidae,10.0,72.0,0.145,31.5,1,2,1,0,0,1,0,1,1,0,0,0,0,1,1,1
Beluga Whale,Delphinapterus leucas,Mammalia,Monodontidae,40.0,22.0,350.5,400.0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0
Bengal Fox,Vulpes bengalensis,Mammalia,Canidae,10.0,41.829850746268654,3.5,50.0,1,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0
Bengal Monitor,Varanus bengalensis,Reptilia,Varanidae,22.0,22.147727272727273,7.0,118.0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
Bennett's Tree-Kangaroo,Dendrolagus bennettianus,Mammalia,Macropodidae,17.5,41.829850746268654,11.0,72.5,2,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0
Bharal,Pseudois nayaur,Mammalia,Bovidae,13.5,41.829850746268654,55.0,140.0,2,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0
Big Brown Bat,Eptesicus fuscus,Mammalia,Vespertilionidae,13.0,64.0,0.021,12.0,1,3,1,2,0,0,0,1,1,1,0,0,0,1,0,1
Big-Headed Mole-Rat,Tachyoryctes macrocephalus,Mammalia,Spalacidae,2.0,41.829850746268654,0.545,23.65,2,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0
Bighorn Sheep,Ovis canadensis,Mammalia,Bovidae,11.5,30.0,88.5,170.0,2,2,1,1,1,1,1,1,0,0,0,0,0,1,0,0
Binturong,Arctictis binturong,Mammalia,Viverridae,21.5,24.0,11.5,77.5,2,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0
Black Agouti,Dasyprocta fuliginosa,Mammalia,Dasyproctidae,18.121026894865526,41.829850746268654,4.5,51.75,2,2,1,2,0,0,0,0,1,0,0,0,0,1,0,1
Black and Rufous Elephant Shrew,Rhynchocyon petersi,Mammalia,Macroscelididae,18.121026894865526,41.829850746268654,0.575,28.0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Black-and-White Ruffed Lemur,Varecia variegata,Mammalia,Lemuridae,25.5,20.0,3.5,110.0,2,1,2,2,0,0,0,1,1,1,0,0,0,0,0,0
Black-and-White Warbler,Mniotilta varia,Aves,Parulidae,11.0,66.8076923076923,0.011000000000000001,12.0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1
Black-Backed Jackal,Canis mesomelas,Mammalia,Canidae,11.0,32.0,9.5,74.0,1,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0
Black-Browed Albatross,Thalassarche melanophris,Aves,Diomedeidae,51.0,66.8076923076923,3.0,87.5,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1
Blackbuck,Antilope cervicapra,Mammalia,Bovidae,12.5,80.0,38.5,125.0,2,2,1,1,1,0,0,0,1,0,0,1,0,1,0,1
Blackburnian Warbler,Setophaga fusca,Aves,Parulidae,8.0,66.8076923076923,0.011000000000000001,12.0,1,3,1,0,0,0,0,1,1,0,0,0,0,1,0,1
Black Caiman,Melanosuchus niger,Reptilia,Alligatoridae,46.5,48.0,197.5,300.0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
Black-Capped Capuchin,Sapajus apella,Mammalia,Cebidae,35.0,41.829850746268654,2.5,44.5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
