Name,Scientific Name,Class,Family,Lifespan (years),Top Speed (km/h),Weight (kg),Length (cm),Diet,Population Trend,Population Status,Mating Behavior,Arid Climate,Cold Climate,Polar Climate,Temperate Climate,Tropical Climate,Africa,Antarctica,Asia,Europe,North America,Oceania,South America
Maned Wolf,Chrysocyon brachyurus,Mammalia,Canidae,14.0,41.829850746268654,23.0,100.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Mangrove Snake,Boiga dendrophila,Reptilia,Colubridae,16.0,22.147727272727273,28.274673913043493,150.0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0
Mantled Guereza,Colobus guereza,Mammalia,Cercopithecidae,24.5,41.829850746268654,10.0,59.0,2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
Mantled Howler Monkey,Alouatta palliata,Mammalia,Atelidae,22.5,30.0,6.0,57.8,2,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1
Many-Banded Krait,Bungarus multicinctus,Reptilia,Elapidae,11.0,22.147727272727273,28.274673913043493,100.0,1,1,1,2,0,0,0,0,1,0,0,1,0,0,0,0
Marabou Stork,Leptoptilos crumenifer,Aves,Ciconiidae,33.0,66.8076923076923,6.0,49.30568669527897,1,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Marbled Cat,Pardofelis marmorata,Mammalia,Felidae,12.0,41.829850746268654,3.5,53.5,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0
Marbled Polecat,Vormela peregusna,Mammalia,Mustelidae,8.0,41.829850746268654,0.505,32.0,1,1,2,2,0,0,0,1,0,1,0,1,1,0,0,0
Margay,Leopardus wiedii,Mammalia,Felidae,15.0,41.829850746268654,3.0,63.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1
Marine Iguana,Amblyrhynchus cristatus,Reptilia,Iguanidae,30.0,35.0,10.0,75.0,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1
Marine Otter,Lontra felina,Mammalia,Mustelidae,14.0,41.829850746268654,4.0,98.0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1
Markhor,Capra falconeri,Mammalia,Bovidae,11.5,17.0,71.0,159.0,2,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0
